hts8,category,country_group,ch99_code,effective_date_start
29055100,pharma,swiss,9903.02.86,2026-01-01
29055910,pharma,eu,9903.02.77,2025-09-25
29055910,pharma,swiss,9903.02.86,2026-01-01
29055990,pharma,eu,9903.02.77,2025-09-25
29055990,pharma,swiss,9903.02.86,2026-01-01
29061100,pharma,eu,9903.02.77,2025-09-25
29061100,pharma,swiss,9903.02.86,2026-01-01
29061950,pharma,eu,9903.02.77,2025-09-25
29061950,pharma,swiss,9903.02.86,2026-01-01
29062960,pharma,eu,9903.02.77,2025-09-25
29062960,pharma,swiss,9903.02.86,2026-01-01
29071100,pharma,eu,9903.02.77,2025-09-25
29071100,pharma,swiss,9903.02.86,2026-01-01
29071910,pharma,eu,9903.02.77,2025-09-25
29071910,pharma,swiss,9903.02.86,2026-01-01
29071920,pharma,eu,9903.02.77,2025-09-25
29071920,pharma,swiss,9903.02.86,2026-01-01
29071940,pharma,eu,9903.02.77,2025-09-25
29071940,pharma,swiss,9903.02.86,2026-01-01
29071980,pharma,eu,9903.02.77,2025-09-25
29071980,pharma,swiss,9903.02.86,2026-01-01
29072990,pharma,eu,9903.02.77,2025-09-25
29072990,pharma,swiss,9903.02.86,2026-01-01
29081910,pharma,eu,9903.02.77,2025-09-25
29081910,pharma,swiss,9903.02.86,2026-01-01
29081935,pharma,eu,9903.02.77,2025-09-25
29081935,pharma,swiss,9903.02.86,2026-01-01
29081960,pharma,eu,9903.02.77,2025-09-25
29081960,pharma,swiss,9903.02.86,2026-01-01
29089912,pharma,eu,9903.02.77,2025-09-25
29089912,pharma,swiss,9903.02.86,2026-01-01
29089915,pharma,eu,9903.02.77,2025-09-25
29089915,pharma,swiss,9903.02.86,2026-01-01
29089925,pharma,eu,9903.02.77,2025-09-25
29089925,pharma,swiss,9903.02.86,2026-01-01
29091100,pharma,eu,9903.02.77,2025-09-25
29091100,pharma,swiss,9903.02.86,2026-01-01
29091918,pharma,eu,9903.02.77,2025-09-25
29091918,pharma,swiss,9903.02.86,2026-01-01
29091960,pharma,eu,9903.02.77,2025-09-25
29091960,pharma,swiss,9903.02.86,2026-01-01
29092000,pharma,eu,9903.02.77,2025-09-25
29092000,pharma,swiss,9903.02.86,2026-01-01
29093040,pharma,eu,9903.02.77,2025-09-25
29093040,pharma,swiss,9903.02.86,2026-01-01
29093060,pharma,eu,9903.02.77,2025-09-25
29093060,pharma,swiss,9903.02.86,2026-01-01
29094905,pharma,eu,9903.02.77,2025-09-25
29094905,pharma,swiss,9903.02.86,2026-01-01
29094910,pharma,eu,9903.02.77,2025-09-25
29094910,pharma,swiss,9903.02.86,2026-01-01
29094915,pharma,eu,9903.02.77,2025-09-25
29094915,pharma,swiss,9903.02.86,2026-01-01
29094920,pharma,eu,9903.02.77,2025-09-25
29094920,pharma,swiss,9903.02.86,2026-01-01
29094960,pharma,eu,9903.02.77,2025-09-25
