hts10,effective_date_start,effective_date_end
2710193000,NA,NA
2710193010,NA,NA
2710193020,NA,NA
2710193030,NA,NA
2710193040,NA,NA
2710193050,NA,NA
2710193070,NA,NA
2710193080,NA,NA
2710193500,NA,NA
2710194000,NA,NA
2710194500,NA,NA
2710194530,NA,NA
2710194540,NA,NA
2710194545,NA,NA
2710194590,NA,NA
2710199000,NA,NA
2710200500,NA,NA
2710200510,NA,NA
2710200520,NA,NA
2710200550,NA,NA
2710201000,NA,NA
2710201002,NA,NA
2710201003,NA,NA
2710201004,NA,NA
2710201005,NA,NA
2710201007,NA,NA
2710201008,NA,NA
2710201011,NA,NA
2710201013,NA,NA
2710201014,NA,NA
2710201015,NA,NA
2710201025,NA,NA
2710201050,NA,NA
2710201500,NA,NA
2710202500,NA,NA
2710910000,NA,NA
2710910010,NA,NA
2710910050,NA,NA
2710990500,NA,NA
2710991000,NA,NA
2710991600,NA,NA
2710992100,NA,NA
2710993100,NA,NA
2710993200,NA,NA
2710993900,NA,NA
2710994500,NA,NA
2710999000,NA,NA
2711110000,NA,NA
2711120000,NA,NA
2711120010,NA,NA
2711120020,NA,NA
2711130000,NA,NA
2711130010,NA,NA
2711130020,NA,NA
2711140000,NA,NA
2711140010,NA,NA
2711140020,NA,NA
2711140030,NA,NA
2711140040,NA,NA
2711190000,NA,NA
2711190010,NA,NA
2711190020,NA,NA
2711210000,NA,NA
2711290000,NA,NA
2711290010,NA,NA
2711290015,NA,NA
2711290020,NA,NA
2711290025,NA,NA
2711290060,NA,NA
2712100000,NA,NA
2712200000,NA,NA
2712901000,NA,NA
2712902000,NA,NA
2713110000,NA,NA
2713120000,NA,NA
2713200000,NA,NA
2713900000,NA,NA
2714100000,NA,NA
2714900000,NA,NA
2715000000,NA,NA
2716000000,NA,NA
2801200000,NA,NA
2804290000,NA,NA
2804290010,NA,NA
2804290020,NA,NA
2804290030,NA,NA
2804290055,NA,NA
2804500000,NA,NA
2804500010,NA,NA
2804500020,NA,NA
2804610000,NA,NA
2804800000,NA,NA
2804900000,NA,NA
2805191000,NA,NA
2805192000,NA,NA
2805199000,NA,NA
2805199010,NA,NA
2805199090,NA,NA
2805300000,NA,NA
2805300005,NA,NA
2805300010,NA,NA
2805300015,NA,NA
2805300020,NA,NA
2805300050,NA,NA
2805300090,NA,NA
2811110000,NA,NA
2811191000,NA,NA
2811291000,NA,NA
2811292000,NA,NA
2812190000,NA,NA
2812190010,NA,NA
2812190090,NA,NA
2813901000,NA,NA
2815200000,NA,NA
2815200050,NA,NA
2815200090,NA,NA
2816100000,NA,NA
2816401000,NA,NA
2816402000,NA,NA
2817000000,NA,NA
2818101000,NA,NA
2818102000,NA,NA
2818102010,NA,NA
2818102090,NA,NA
2818200000,NA,NA
2818300000,NA,2025-09-07
2820100000,NA,NA
2821100000,NA,NA
2821100010,NA,NA
2821100020,NA,NA
2821100030,NA,NA
2821100040,NA,NA
2821100050,NA,NA
2821200000,NA,NA
2822000000,NA,NA
2822000010,NA,NA
2822000090,NA,NA
2823000000,NA,NA
2825200000,NA,NA
